Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/booking/1424,1,0,142.62416700000102,142.62416700000102,142.62416700000102,142.62416700000102,150.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1434,1,0,161.5847090000031,161.5847090000031,161.5847090000031,161.5847090000031,150.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1438,1,0,180.45712499999667,180.45712499999667,180.45712499999667,180.45712499999667,150.0,0.016934836038073553,0.0,180,180,180,180,180,180,180,180,180,180,180
PUT,/booking/1439,1,0,142.60470899999865,142.60470899999865,142.60470899999865,142.60470899999865,150.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1442,1,0,146.8429579999997,146.8429579999997,146.8429579999997,146.8429579999997,150.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1455,1,0,158.5644170000009,158.5644170000009,158.5644170000009,158.5644170000009,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1456,1,0,146.76454199999966,146.76454199999966,146.76454199999966,146.76454199999966,150.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1459,1,0,168.90770900000263,168.90770900000263,168.90770900000263,168.90770900000263,150.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/1468,1,0,141.7630410000008,141.7630410000008,141.7630410000008,141.7630410000008,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1483,1,0,144.1317909999995,144.1317909999995,144.1317909999995,144.1317909999995,150.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1491,1,0,147.58837500000155,147.58837500000155,147.58837500000155,147.58837500000155,150.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1497,1,0,163.83987500000075,163.83987500000075,163.83987500000075,163.83987500000075,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/15,1,0,166.9194580000024,166.9194580000024,166.9194580000024,166.9194580000024,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
PUT,/booking/1504,1,0,149.7478749999992,149.7478749999992,149.7478749999992,149.7478749999992,150.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1512,1,0,155.5531249999973,155.5531249999973,155.5531249999973,155.5531249999973,150.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/1515,1,0,144.42675000000094,144.42675000000094,144.42675000000094,144.42675000000094,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
